sample_index,energy
0,-481.9720580685377
1,-528.5973071057238
2,-572.7457891502463
3,-591.9078830743672
4,-600.6900179200948
5,-611.6102833105356
6,-626.3497978815475
7,-629.5385267057604
8,-632.412886226716
9,-636.7209611040896
10,-636.7209611040896
11,-638.859086660681
12,-638.859086660681
13,-638.859086660681
14,-640.412896385323
15,-640.7674510611362
16,-640.7674510611362
17,-642.4713297524337
18,-644.6356691993487
19,-644.6356691993487
20,-646.2700650671774
21,-646.2700650671774
22,-646.2700650671774
23,-646.2700650671774
24,-647.7207979203898
25,-647.7207979203898
26,-647.7207979203898
27,-647.7207979203898
28,-647.7207979203898
29,-647.7207979203898
30,-648.2001149995447
31,-648.2001149995447
32,-648.2001149995447
33,-648.2001149995447
34,-648.2001149995447
35,-648.2001149995447
36,-648.2001149995447
37,-648.885722889655
38,-648.885722889655
39,-648.885722889655
40,-648.885722889655
41,-648.885722889655
42,-648.885722889655
43,-648.885722889655
44,-648.885722889655
45,-648.885722889655
46,-648.885722889655
47,-648.885722889655
48,-648.885722889655
49,-648.885722889655
50,-648.885722889655
51,-648.885722889655
52,-648.885722889655
53,-649.4378841925425
54,-649.4378841925425
55,-649.4378841925425
56,-649.4378841925425
57,-649.4378841925425
58,-649.7513022180801
59,-649.7513022180801
60,-649.7513022180801
61,-649.7513022180801
62,-649.7513022180801
63,-649.7513022180801
64,-649.7513022180801
65,-649.7513022180801
66,-649.7513022180801
67,-649.7513022180801
68,-649.7513022180801
69,-649.7513022180801
70,-649.7513022180801
71,-649.7513022180801
72,-649.7513022180801
73,-649.7513022180801
74,-649.7513022180801
75,-649.7513022180801
76,-649.7513022180801
77,-649.7513022180801
78,-649.7513022180801
79,-649.7513022180801
80,-649.7513022180801
81,-649.7513022180801
82,-649.7513022180801
83,-649.7513022180801
84,-649.7513022180801
85,-649.7513022180801
86,-649.7513022180801
87,-649.7513022180801
88,-649.7513022180801
89,-649.7513022180801
90,-649.7513022180801
91,-649.7513022180801
92,-649.7513022180801
93,-649.7513022180801
94,-649.7513022180801
95,-649.7513022180801
96,-649.7513022180801
97,-649.7513022180801
98,-649.7513022180801
99,-649.7513022180801
100,-649.7513022180801
101,-649.7513022180801
102,-649.7513022180801
103,-649.7513022180801
104,-649.7513022180801
105,-649.7513022180801
106,-649.7513022180801
107,-649.7513022180801
108,-649.7513022180801
109,-649.7513022180801
110,-649.7513022180801
111,-649.7513022180801
112,-649.7513022180801
113,-649.7513022180801
114,-649.7513022180801
115,-649.7513022180801
116,-649.7513022180801
117,-649.7513022180801
118,-649.7513022180801
119,-649.7513022180801
120,-649.7513022180801
121,-649.7513022180801
122,-649.7513022180801
123,-649.7513022180801
124,-649.7513022180801
125,-649.7513022180801
126,-649.7513022180801
127,-649.7513022180801
128,-649.7513022180801
129,-649.7513022180801
130,-649.7513022180801
131,-649.7513022180801
132,-649.7513022180801
133,-649.7513022180801
134,-649.7513022180801
135,-649.7513022180801
136,-649.7513022180801
137,-649.7513022180801
138,-649.7513022180801
139,-649.7513022180801
140,-649.7513022180801
141,-649.7513022180801
142,-649.7513022180801
143,-649.7513022180801
144,-649.7513022180801
145,-649.7513022180801
146,-649.7513022180801
147,-649.7513022180801
148,-649.7513022180801
