sample_index,energy
0,-513.2115391464787
1,-542.0210755440487
2,-571.9588327842373
3,-596.3747900109422
4,-617.106217876325
5,-620.5818141158909
6,-623.9718286209222
7,-629.7170028699616
8,-635.8318373480964
9,-636.5855486384796
10,-636.2767137024928
11,-641.0186103358021
12,-641.9177032466927
13,-642.2478181362162
14,-645.1323274982509
15,-645.1323274982509
16,-646.8586957150064
17,-648.9985965445996
18,-648.9985965445996
19,-648.9985965445996
20,-648.9985965445996
21,-649.8347732657647
22,-649.8347732657647
23,-650.057496432403
24,-650.057496432403
25,-651.051528867637
26,-651.051528867637
27,-651.051528867637
28,-651.051528867637
29,-651.051528867637
30,-651.051528867637
31,-651.051528867637
32,-651.051528867637
33,-651.051528867637
34,-651.051528867637
35,-651.051528867637
36,-651.051528867637
37,-651.051528867637
38,-651.284080929627
39,-651.284080929627
40,-651.284080929627
41,-651.284080929627
42,-651.284080929627
43,-651.284080929627
44,-651.284080929627
45,-651.284080929627
46,-651.8276238165861
47,-651.8276238165861
48,-651.8276238165861
49,-651.8276238165861
50,-651.8276238165861
51,-651.8276238165861
52,-651.8276238165861
53,-652.9680263213718
54,-652.9680263213718
55,-652.9680263213718
56,-652.9680263213718
57,-652.9680263213718
58,-652.9680263213718
59,-652.9680263213718
60,-652.9680263213718
61,-653.1472680355464
62,-653.1472680355464
63,-653.1472680355464
64,-653.1472680355464
65,-653.1472680355464
66,-653.1472680355464
67,-653.1472680355464
68,-653.1472680355464
69,-653.1472680355464
70,-653.1472680355464
71,-653.1472680355464
72,-653.1472680355464
73,-653.1472680355464
74,-653.1472680355464
75,-653.1472680355464
76,-653.1472680355464
77,-653.1472680355464
78,-653.1472680355464
79,-653.1472680355464
80,-653.1472680355464
81,-653.1472680355464
82,-653.1472680355464
83,-653.1472680355464
84,-653.1472680355464
85,-653.1472680355464
86,-653.1472680355464
87,-653.1472680355464
88,-653.1472680355464
89,-653.1472680355464
90,-653.1472680355464
91,-653.1472680355464
92,-653.1472680355464
93,-653.1472680355464
94,-653.1472680355464
95,-653.1472680355464
96,-653.1472680355464
97,-653.1472680355464
98,-653.1472680355464
99,-653.1472680355464
100,-653.1472680355464
101,-653.1472680355464
102,-653.1472680355464
103,-653.1472680355464
104,-653.1472680355464
105,-653.1472680355464
106,-653.1472680355464
107,-653.1472680355464
108,-653.1472680355464
109,-653.1472680355464
110,-653.1472680355464
111,-653.1472680355464
112,-653.1472680355464
113,-653.1472680355464
114,-653.1472680355464
115,-653.1472680355464
116,-653.1472680355464
117,-653.1472680355464
118,-653.1472680355464
119,-653.1472680355464
120,-653.1472680355464
121,-653.1472680355464
122,-653.1472680355464
123,-653.1472680355464
124,-653.1472680355464
125,-653.1472680355464
126,-653.1472680355464
127,-653.1472680355464
128,-653.1472680355464
129,-653.1472680355464
130,-653.1472680355464
131,-653.1472680355464
132,-653.1472680355464
133,-653.1472680355464
134,-653.1472680355464
135,-653.1472680355464
136,-653.1472680355464
137,-653.1472680355464
138,-653.1472680355464
139,-653.1472680355464
140,-653.1472680355464
141,-653.1472680355464
142,-653.1472680355464
143,-653.1472680355464
144,-653.1472680355464
145,-653.1472680355464
146,-653.1472680355464
147,-653.1472680355464
148,-653.1472680355464
149,-653.1472680355464
150,-653.1472680355464
151,-653.1472680355464
152,-653.1472680355464
153,-653.1472680355464
154,-653.1472680355464
155,-653.1472680355464
156,-653.1472680355464
157,-653.1472680355464
158,-653.1472680355464
159,-653.1472680355464
160,-653.1472680355464
161,-653.1472680355464
162,-653.1472680355464
163,-653.1472680355464
164,-653.1472680355464
165,-653.1472680355464
166,-653.1472680355464
167,-653.1472680355464
168,-653.1472680355464
169,-653.1472680355464
170,-653.1472680355464
171,-653.1472680355464
172,-653.1472680355464
173,-653.1472680355464
174,-653.1472680355464
175,-653.1472680355464
176,-653.1472680355464
177,-653.1472680355464
178,-653.1472680355464
179,-653.1472680355464
180,-653.1472680355464
181,-653.1472680355464
182,-653.1472680355464
183,-653.1472680355464
184,-653.1472680355464
185,-653.1472680355464
186,-653.1472680355464
187,-653.1472680355464
188,-653.1472680355464
189,-653.1472680355464
190,-653.1472680355464
191,-653.1472680355464
192,-653.1472680355464
193,-653.1472680355464
194,-653.1472680355464
195,-653.1472680355464
196,-653.1472680355464
197,-653.1472680355464
198,-653.1472680355464
199,-653.1472680355464
200,-653.1472680355464
201,-653.1472680355464
202,-653.1472680355464
203,-653.1472680355464
204,-653.1472680355464
205,-653.1472680355464
206,-653.1472680355464
207,-653.1472680355464
208,-653.1472680355464
209,-653.1472680355464
210,-653.1472680355464
211,-653.1472680355464
212,-653.1472680355464
213,-653.1472680355464
214,-653.1472680355464
215,-653.1472680355464
216,-653.1472680355464
217,-653.1472680355464
218,-653.1472680355464
219,-653.1472680355464
220,-653.1472680355464
221,-653.1472680355464
222,-653.1472680355464
223,-653.1472680355464
224,-653.1472680355464
225,-653.1472680355464
226,-653.1472680355464
227,-653.1472680355464
228,-653.1472680355464
229,-653.1472680355464
230,-653.1472680355464
231,-653.1472680355464
232,-653.1472680355464
233,-653.1472680355464
234,-653.1472680355464
235,-653.1472680355464
236,-653.1472680355464
237,-653.1472680355464
238,-653.1472680355464
239,-653.1472680355464
240,-653.1472680355464
241,-653.1472680355464
242,-653.1472680355464
243,-653.1472680355464
244,-653.1472680355464
245,-653.1472680355464
246,-653.1472680355464
247,-653.1472680355464
248,-653.1472680355464
249,-653.1472680355464
250,-653.1472680355464
251,-653.1472680355464
252,-653.1472680355464
253,-653.1472680355464
254,-653.1472680355464
255,-653.1472680355464
256,-653.1472680355464
257,-653.1472680355464
258,-653.1472680355464
259,-653.1472680355464
260,-653.1472680355464
261,-653.1472680355464
262,-653.1472680355464
263,-653.1472680355464
264,-653.1472680355464
265,-653.1472680355464
266,-653.1472680355464
267,-653.1472680355464
268,-653.1472680355464
